"variable name","title","element type","version","definition","short description","datatype","maximum character quantity","input restriction","minimum value","maximum value","permissible values","permissible value descriptions","permissible value output codes","Item Response OID","Element OID","unit of measure","guidelines/instructions","notes","preferred question text","keywords","references","population.all","domain.general (for all diseases)","domain.traumatic brain injury","domain.Parkinson's disease","domain.Friedreich's ataxia","domain.stroke","domain.amyotrophic lateral sclerosis","domain.Huntington's disease","domain.multiple sclerosis","domain.neuromuscular diseases","domain.myasthenia gravis","domain.spinal muscular atrophy","domain.Duchenne muscular dystrophy/Becker muscular dystrophy","domain.congenital muscular dystrophy","domain.spinal cord injury","domain.headache","domain.epilepsy","classification.general (for all diseases)","classification.acute hospitalized","classification.concussion/mild TBI","classification.epidemiology","classification.moderate/severe TBI: rehabilitation","classification.Parkinson's disease","classification.Friedreich's ataxia","classification.stroke","classification.amyotrophic lateral sclerosis","classification.Huntington's disease","classification.multiple sclerosis","classification.neuromuscular diseases","classification.myasthenia gravis","classification.spinal muscular atrophy","classification.Duchenne muscular dystrophy/Becker muscular dystrophy","classification.congenital muscular dystrophy","classification.spinal cord injury","classification.headache","classification.epilepsy","historical notes","Label(s)","see also","submitting organization name","submitting contact name","submitting contact information","effective date","until date","steward organization name","steward contact name","steward contact information","creation date","last change date","administrative status","CAT OID","Form Item OID"
"LasikENJYFRNDScl","Enjoy friends","Unique Data Element","1.0","I enjoy my friends a lot.","I enjoy my friends a lot.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","I agree a lot;I agree a little;I neither agree nor disagree;I disagree a little;I disagree a lot","1;2;3;4;5","","","","Please answer the following question about yourself. Try not to let your response to a previous question influence your response to this question. There are no right or wrong answers.","A97","I enjoy my friends a lot.","","LASIK Quality of Life Collaboration Project: PRENJFRD v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QkWzszLe7","","ENJYFRND","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikAIRCONDScl","Areas air conditioned","Unique Data Element","1.0","Areas that are air conditioned?","Areas that are air conditioned?","Alphanumeric","","Single Pre-Defined Value Selected","","","0;1;2;3;4","None of the time;Some of the time;Half of the time;Most of the time;All of the time","0;1;2;3;4","","","","During the last 7 days, how often have your eyes felt uncomfortable in:","A84","During the last 7 days, how often have your eyes felt uncomfortable in: Areas that are air conditioned?","","LASIK Quality of Life Collaboration Project: PRAIRCND v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XJKt8eIlm","","AIRCOND","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikDBLANVCScl","Activity dbl vis no corr","Unique Data Element","1.0","In the last 7 days, how much difficulty have you had doing your usual activities because you see double images when you are NOT wearing any vision correction (glasses or contact lenses)?","In the last 7 days, how much difficulty have you had doing your usual activities because you see double images when you are NOT wearing any vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficulty that I can no longer do some of my usual activities;I always use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about double images, which some people call ""ghost"" or ""shadow"" images. By double images, we mean seeing a distorted or blurry visual image.","A51","In the last 7 days, how much difficulty have you had doing your usual activities because you see double images when you are NOT wearing any vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project Pre Op: PRDBNCAC v1.0;LASIK Quality of Life Collaboration Project Post Op: PODBNCAC v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","X1FDtmGeQ","","DBLA_NVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikHLOAWVCScl","Halos correction activity","Unique Data Element","1.0","In the last 7 days, how much difficulty have you had doing your usual activities because you see halos when you are wearing your best vision correction (glasses or contact lenses)?","In the last 7 days, how much difficulty have you had doing your usual activities because you see halos when you are wearing your best vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficulty that I can no longer do some of my usual activities;I do not use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about halos. By halos, we mean seeing a fuzzy cloud of light around lighted objects, such as the ones shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A66","In the last 7 days, how much difficulty have you had doing your usual activities because you see halos when you are wearing your best vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project: PRHLCRAC v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XJHhAVzxm","","HLOA_WVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikEXPMYWAYScl","Hardly expect my way","Unique Data Element","1.0","I hardly ever expect things to go my way.","I hardly ever expect things to go my way.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","I agree a lot;I agree a little;I neither agree nor disagree;I disagree a little;I disagree a lot","1;2;3;4;5","","","","Please answer the following question about yourself. Try not to let your response to a previous question influence your response to this question. There are no right or wrong answers.","A99","I hardly ever expect things to go my way.","","LASIK Quality of Life Collaboration Project: PRNOEXP v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Qk6coMUeQ","","EXPMYWAY","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSTBANVCScl","Starburst no corr active","Unique Data Element","1.0","In the last 7 days, how much difficulty have you had doing your usual activities because you see starbursts when you are NOT wearing any vision correction (glasses or contact lenses)?","In the last 7 days, how much difficulty have you had doing your usual activities because you see starbursts when you are NOT wearing any vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficulty that I can no longer do some of my usual activities;I always use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about starbursts. By starbursts, we mean seeing rays of light coming out from lighted objects, such as in the car headlights in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A75","In the last 7 days, how much difficulty have you had doing your usual activities because you see starbursts when you are NOT wearing any vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project: PRSTNCAC v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7yFBpHMl7","","STBA_NVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikHLOBNVCScl","Halos no correct bother","Unique Data Element","1.0","In the last 7 days, how bothersome have the halos been when you are NOT wearing any vision correction (glasses or contact lenses)?","In the last 7 days, how bothersome have the halos been when you are NOT wearing any vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I always use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about halos. By halos, we mean seeing a fuzzy cloud of light around lighted objects, such as the ones shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A65","In the last 7 days, how bothersome have the halos been when you are NOT wearing any vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project: PRHLNCBT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7ymi6EMlm","","HLOB_NVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikMASTTASKScl","Master tasks","Unique Data Element","1.0","I can usually master a task even if I can't master it right away.","I can usually master a task even if I can't master it right away.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Never;Sometimes;Often;Constantly","1;2;3;4","","","","Please select the answer you feel best applies to you.","B13","I can usually master a task even if I can't master it right away.","","LASIK Quality of Life Collaboration Project: PRMASTER v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QknfemIgX","","MASTTASK","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikDSTVSNBTScl","Bothersome distort vision","Unique Data Element","1.0","How bothersome has it been?","How bothersome has it been?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Very;Somewhat;A little;Not at all","1;2;3;4","","","","","A33","How bothersome has it been?","","LASIK Quality of Life Collaboration Project Pre Op: PRDISBTH v1.0;LASIK Quality of Life Collaboration Project Post Op: PODISBTH v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Q1D9bjDx7","","DSTVSNBT","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSEEGLR1Typ","Noticed glare last 7 days (A)","Unique Data Element","1.0","In the last 7 days, have you noticed any glare?","In the last 7 days, have you noticed any glare?","Alphanumeric","","Multiple Pre-Defined Values Selected","","","1;2;3;4","Yes, but ONLY when NOT wearing glasses or contact lenses;Yes, but ONLY when wearing glasses or contact lenses;Yes, when wearing AND when not wearing glasses or contact lenses;No, not at all","1;2;3;4","","","","The next few questions are about glare. By glare, we mean difficulty seeing well when there are bright lights like headlights or sunlight, such as shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less than what is shown.","A53A","In the last 7 days, have you noticed any glare?","","LASIK Quality of Life Collaboration Project Pre Op: PRGLARE v1.0;LASIK Quality of Life Collaboration Project Post Op: POGLARE v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7yays7zgQ","","SEEGLR","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSEESTB2Typ","Starburst last 7 days (B)","Unique Data Element","1.0","In the last 7 days, have you seen any starbursts?","In the last 7 days, have you seen any starbursts?","Alphanumeric","","Multiple Pre-Defined Values Selected","","","1;2;3","Yes, without glasses or contact lenses;Yes, even wearing glasses or contact lenses;No, not at all","1;2;3","","",""," The next few questions are about starbursts. By starbursts, we mean seeing rays of light coming out from lighted objects, such as in the car headlights in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A69B","In the last 7 days, have you seen any starbursts?","","","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","","","","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSEEHLO1Typ","Notice halos last 7 days (A)","Unique Data Element","1.0","In the last 7 days, have you seen any halos?","In the last 7 days, have you seen any halos?","Alphanumeric","","Multiple Pre-Defined Values Selected","","","1;2;3;4","Yes, but ONLY when NOT wearing glasses or contact lenses;Yes, but ONLY when wearing glasses or contact lenses;Yes, when wearing AND when not wearing glasses or contact lenses;No, not at all","1;2;3;4","","","","The next few questions are about halos. By halos, we mean seeing a fuzzy cloud of light around lighted objects, such as the ones shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A61A","In the last 7 days, have you seen any halos?","","LASIK Quality of Life Collaboration Project Pre Op: PRHALOS v1.0;LASIK Quality of Life Collaboration Project Post Op: POHALOS v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","X1YAy4GxX","","SEEHLO","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikGLRANVCScl","Glare no correct activity","Unique Data Element","1.0","In the last 7 days, how much difficulty have you had doing your usual activities because you notice glare when you are NOT wearing any vision correction (glasses or contact lenses)?","In the last 7 days, how much difficulty have you had doing your usual activities because you notice glare when you are NOT wearing any vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficulty that I can no longer do some of my usual activities;I always use vision correction","1;2;3;4;5;6","","","","The next few questions are about glare. By glare, we mean difficulty seeing well when there are bright lights like headlights or sunlight, such as shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less than what is shown.","A59","In the last 7 days, how much difficulty have you had doing your usual activities because you notice glare when you are NOT wearing any vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project Pre Op: PRGLNCAC v1.0;LASIK Quality of Life Collaboration Project Post Op: POGLNCAC v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mk9gCXzem","","GLRA_NVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSTBOWBVScl","Starburst with correction","Unique Data Element","1.0","In the last 7 days, how often have you seen starbursts when you are wearing your best vision correction (glasses or contact lenses)?","In the last 7 days, how often have you seen starbursts when you are wearing your best vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Never;Rarely;Sometimes;Often;Always;I do not use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about starbursts. By starbursts, we mean seeing rays of light coming out from lighted objects, such as in the car headlights in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A70","In the last 7 days, how often have you seen starbursts when you are wearing your best vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project: PRSTRCOR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QkSizBzlQ","","STBOWBV","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikGLAREBTScl","How bothersome glare","Unique Data Element","1.0","How bothersome has it been?","How bothersome has it been?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Very;Somewhat;A little;Not at all","1;2;3;4","","","","","A32","How bothersome has it been?","","LASIK Quality of Life Collaboration Project Pre Op: PRGLRBTH v1.0;LASIK Quality of Life Collaboration Project Post Op: POGLRBTH v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","m1gyUYkem","","GLAREBT","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikHRSWORKTimDur","Hours worked","Unique Data Element","1.0","During the past seven days, how many hours did you actually work?","During the past seven days, how many hours did you actually work?","Numeric Values","","Free-Form Entry","0","168","","","","","","","The following question asks about the effect of any problem with your eyes on your ability to work and perform regular activities during the past seven days, not including today.","A40","During the past seven days, how many hours did you actually work?","","LASIK Quality of Life Collaboration Project Pre Op: PRHRSWRK v1.0;LASIK Quality of Life Collaboration Project Post Op: POHRSWRK v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XJ2KzqylX","","HRSWORK","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikGLCLDISTScl","Glasses contacts distance","Unique Data Element","1.0","How much of the time do you expect to use glasses or contact lenses to see things in the distance after healing from LASIK surgery?","How much of the time do you expect to use glasses or contact lenses to see things in the distance after healing from LASIK surgery?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","All of the time;Most of the time;Some of the time;Hardly ever;Never","1;2;3;4;5","","","","","A06","How much of the time do you expect to use glasses or contact lenses to see things in the distance after healing from LASIK surgery?","","LASIK Quality of Life Collaboration Project: PRGCDSLK v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","myxISEAJQ","","GLCLDIST","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikNEWPLACEScl","Try new activities","Unique Data Element","1.0","I like to try new places, activities, and situations.","I like to try new places, activities, and situations.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Never;Sometimes;Often;Constantly","1;2;3;4","","","","Please select the answer you feel best applies to you.","B10","I like to try new places, activities, and situations.","","LASIK Quality of Life Collaboration Project: PRNEWACT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","X1cIkXIlm","","NEWPLACE","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
